x,f(x)one,f(x)two,f(x)three
0.433,-0.41955,-0.419503,-0.419503
0.434,-0.420457,-0.42041,-0.42041
0.435,-0.421364,-0.421317,-0.421317
0.436,-0.42227,-0.422223,-0.422223
0.437,-0.423176,-0.423129,-0.423129
0.438,-0.424082,-0.424034,-0.424034
0.439,-0.424987,-0.424939,-0.424939
0.44,-0.425892,-0.425844,-0.425844
0.441,-0.426796,-0.426748,-0.426748
0.442,-0.4277,-0.427652,-0.427652
0.443,-0.428603,-0.428555,-0.428555
0.444,-0.429507,-0.429458,-0.429458
0.445,-0.430409,-0.43036,-0.43036
0.446,-0.431311,-0.431262,-0.431262
0.447,-0.432213,-0.432164,-0.432164
0.448,-0.433114,-0.433065,-0.433065
0.449,-0.434015,-0.433965,-0.433965
0.45,-0.434916,-0.434866,-0.434866
0.451,-0.435816,-0.435766,-0.435765
0.452,-0.436715,-0.436665,-0.436665
0.453,-0.437614,-0.437564,-0.437564
0.454,-0.438513,-0.438462,-0.438462
0.455,-0.439411,-0.43936,-0.43936
0.456,-0.440309,-0.440258,-0.440258
0.457,-0.441207,-0.441155,-0.441155
0.458,-0.442104,-0.442052,-0.442052
0.459,-0.443,-0.442948,-0.442948
0.46,-0.443896,-0.443844,-0.443844
0.461,-0.444792,-0.444739,-0.444739
0.462,-0.445687,-0.445634,-0.445634
0.463,-0.446582,-0.446529,-0.446529
0.464,-0.447476,-0.447423,-0.447423
0.465,-0.44837,-0.448316,-0.448316
0.466,-0.449263,-0.44921,-0.449209
0.467,-0.450156,-0.450102,-0.450102
0.468,-0.451048,-0.450994,-0.450994
0.469,-0.45194,-0.451886,-0.451886
0.47,-0.452832,-0.452778,-0.452778
0.471,-0.453723,-0.453668,-0.453668
0.472,-0.454614,-0.454559,-0.454559
0.473,-0.455504,-0.455449,-0.455449
0.474,-0.456394,-0.456338,-0.456338
0.475,-0.457283,-0.457227,-0.457227
0.476,-0.458172,-0.458116,-0.458116
0.477,-0.45906,-0.459004,-0.459004
0.478,-0.459948,-0.459892,-0.459892
0.479,-0.460836,-0.460779,-0.460779
0.48,-0.461723,-0.461666,-0.461666
0.481,-0.462609,-0.462552,-0.462552
0.482,-0.463495,-0.463438,-0.463438
0.483,-0.464381,-0.464323,-0.464323
0.484,-0.465266,-0.465208,-0.465208
0.485,-0.466151,-0.466093,-0.466093
0.486,-0.467035,-0.466977,-0.466977
0.487,-0.467919,-0.46786,-0.46786
0.488,-0.468802,-0.468743,-0.468743
0.489,-0.469685,-0.469626,-0.469626
0.49,-0.470567,-0.470508,-0.470508
0.491,-0.471449,-0.47139,-0.471389
0.492,-0.47233,-0.472271,-0.472271
0.493,-0.473211,-0.473151,-0.473151
0.494,-0.474092,-0.474032,-0.474032
0.495,-0.474972,-0.474911,-0.474911
0.496,-0.475851,-0.475791,-0.475791
0.497,-0.47673,-0.476669,-0.476669
0.498,-0.477609,-0.477548,-0.477548
0.499,-0.478487,-0.478425,-0.478425
0.5,-0.479364,-0.479303,-0.479303
0.501,-0.480241,-0.48018,-0.48018
0.502,-0.481118,-0.481056,-0.481056
0.503,-0.481994,-0.481932,-0.481932
0.504,-0.48287,-0.482807,-0.482807
0.505,-0.483745,-0.483682,-0.483682
0.506,-0.48462,-0.484557,-0.484557
0.507,-0.485494,-0.485431,-0.485431
0.508,-0.486368,-0.486304,-0.486304
0.509,-0.487241,-0.487177,-0.487177
0.51,-0.488114,-0.48805,-0.48805
0.511,-0.488986,-0.488922,-0.488922
0.512,-0.489858,-0.489793,-0.489793
0.513,-0.490729,-0.490664,-0.490664
0.514,-0.4916,-0.491535,-0.491535
0.515,-0.49247,-0.492405,-0.492405
0.516,-0.49334,-0.493274,-0.493274
0.517,-0.494209,-0.494143,-0.494143
0.518,-0.495078,-0.495012,-0.495012
0.519,-0.495946,-0.49588,-0.49588
0.52,-0.496814,-0.496748,-0.496748
0.521,-0.497681,-0.497615,-0.497615
0.522,-0.498548,-0.498481,-0.498481
0.523,-0.499414,-0.499347,-0.499347
0.524,-0.50028,-0.500213,-0.500213
0.525,-0.501146,-0.501078,-0.501078
0.526,-0.50201,-0.501943,-0.501943
0.527,-0.502875,-0.502807,-0.502807
0.528,-0.503739,-0.50367,-0.50367
0.529,-0.504602,-0.504533,-0.504533
0.53,-0.505465,-0.505396,-0.505396
0.531,-0.506327,-0.506258,-0.506258
0.532,-0.507189,-0.507119,-0.507119
0.533,-0.50805,-0.50798,-0.50798
0.534,-0.508911,-0.508841,-0.508841
0.535,-0.509771,-0.509701,-0.509701
0.536,-0.510631,-0.510561,-0.51056
0.537,-0.51149,-0.51142,-0.511419
0.538,-0.512349,-0.512278,-0.512278
0.539,-0.513207,-0.513136,-0.513136
0.54,-0.514065,-0.513993,-0.513993
0.541,-0.514922,-0.51485,-0.51485
0.542,-0.515779,-0.515707,-0.515707
0.543,-0.516635,-0.516563,-0.516563
0.544,-0.51749,-0.517418,-0.517418
0.545,-0.518346,-0.518273,-0.518273
0.546,-0.5192,-0.519127,-0.519127
0.547,-0.520054,-0.519981,-0.519981
0.548,-0.520908,-0.520834,-0.520834
0.549,-0.521761,-0.521687,-0.521687
0.55,-0.522613,-0.522539,-0.522539
0.551,-0.523465,-0.523391,-0.523391
0.552,-0.524317,-0.524242,-0.524242
0.553,-0.525168,-0.525093,-0.525093
0.554,-0.526018,-0.525943,-0.525943
0.555,-0.526868,-0.526793,-0.526793
0.556,-0.527718,-0.527642,-0.527642
0.557,-0.528566,-0.528491,-0.52849
0.558,-0.529415,-0.529339,-0.529339
0.559,-0.530263,-0.530186,-0.530186
0.56,-0.53111,-0.531033,-0.531033
0.561,-0.531957,-0.53188,-0.53188
0.562,-0.532803,-0.532726,-0.532725
0.563,-0.533648,-0.533571,-0.533571
0.564,-0.534493,-0.534416,-0.534416
0.565,-0.535338,-0.53526,-0.53526
0.566,-0.536182,-0.536104,-0.536104
0.567,-0.537026,-0.536947,-0.536947
0.568,-0.537869,-0.53779,-0.53779
0.569,-0.538711,-0.538632,-0.538632
0.57,-0.539553,-0.539474,-0.539474
0.571,-0.540394,-0.540315,-0.540315
0.572,-0.541235,-0.541155,-0.541155
0.573,-0.542075,-0.541995,-0.541995
0.574,-0.542915,-0.542835,-0.542835
0.575,-0.543754,-0.543674,-0.543674
0.576,-0.544593,-0.544512,-0.544512
0.577,-0.545431,-0.54535,-0.54535
0.578,-0.546269,-0.546187,-0.546187
0.579,-0.547106,-0.547024,-0.547024
0.58,-0.547942,-0.54786,-0.54786
0.581,-0.548778,-0.548696,-0.548696
0.582,-0.549613,-0.549531,-0.549531
0.583,-0.550448,-0.550365,-0.550365
0.584,-0.551282,-0.551199,-0.551199
0.585,-0.552116,-0.552033,-0.552033
0.586,-0.552949,-0.552866,-0.552866
0.587,-0.553782,-0.553698,-0.553698
0.588,-0.554614,-0.55453,-0.55453
0.589,-0.555446,-0.555361,-0.555361
0.59,-0.556276,-0.556192,-0.556192
0.591,-0.557107,-0.557022,-0.557022
0.592,-0.557937,-0.557851,-0.557851
0.593,-0.558766,-0.55868,-0.55868
0.594,-0.559595,-0.559509,-0.559509
0.595,-0.560423,-0.560337,-0.560336
0.596,-0.56125,-0.561164,-0.561164
0.597,-0.562077,-0.561991,-0.561991
0.598,-0.562904,-0.562817,-0.562817
0.599,-0.56373,-0.563642,-0.563642
0.6,-0.564555,-0.564467,-0.564467
0.601,-0.56538,-0.565292,-0.565292
0.602,-0.566204,-0.566116,-0.566116
0.603,-0.567028,-0.566939,-0.566939
0.604,-0.567851,-0.567762,-0.567762
0.605,-0.568673,-0.568584,-0.568584
0.606,-0.569495,-0.569406,-0.569406
0.607,-0.570317,-0.570227,-0.570227
0.608,-0.571137,-0.571047,-0.571047
0.609,-0.571958,-0.571867,-0.571867
0.61,-0.572777,-0.572687,-0.572687
0.611,-0.573596,-0.573506,-0.573505
0.612,-0.574415,-0.574324,-0.574324
0.613,-0.575233,-0.575141,-0.575141
0.614,-0.57605,-0.575958,-0.575958
0.615,-0.576867,-0.576775,-0.576775
0.616,-0.577683,-0.577591,-0.577591
0.617,-0.578499,-0.578406,-0.578406
0.618,-0.579314,-0.579221,-0.579221
0.619,-0.580128,-0.580035,-0.580035
0.62,-0.580942,-0.580849,-0.580849
